Food,Region,RMSE,MAE,MAPE (%)
carrots,Region IV-A,36.54184749402274,29.657287249447986,23.769367176425714
carrots,Region IV-B,45.69758077058147,39.09889301526292,26.379252432667954
carrots,Region IX,33.28361608357652,27.605931906738764,25.423950622094722
carrots,Region V,47.8598972295767,40.60853541706892,30.584724848635815
carrots,Region VI,47.42592047516331,40.0094741822832,29.356349913870815
carrots,Region VII,48.10329877165025,42.11162380248803,32.26020048014883
carrots,Region VIII,30.620206697363127,25.19832239991017,18.90831937810066
carrots,Region X,26.86192844413382,21.238033697443388,22.715532037991
carrots,Region XI,37.528925974617785,31.992279906169788,32.69000886379386
carrots,Region XII,35.425490156040134,28.547665316975753,27.13061049890374
carrots,Region XIII,21.683607596112893,15.937459736040864,14.00315229231073
eggs,Autonomous region in Muslim Mindanao,4.048581300664257,3.7585650691259467,42.76313076444297
eggs,Cordillera Administrative region,2.52685355455569,2.2200781259220213,26.117710493437045
eggs,Market Average,2.140083307616886,1.8871872766856261,24.038890677483842
eggs,National Capital region,2.1599060196873894,1.9236250661270973,25.177042519401994
eggs,Region I,1.7873719877454624,1.5593533698648674,19.739652122196443
eggs,Region II,2.2223042554779084,1.9550880325457722,24.23714040291818
eggs,Region III,2.4874184614638284,2.2589060249142885,29.042416456406077
eggs,Region IV-A,3.0174222366515333,2.7595579247175013,35.20025399747333
eggs,Region IV-B,3.2021346567543625,2.945672460305229,35.03671492868406
eggs,Region IX,2.5460655108046035,2.242859240375133,28.987306289798603
eggs,Region V,2.846154622842346,2.600954287811114,32.64864795010537
eggs,Region VI,3.28967185848597,2.947921526505604,35.61091695355703
eggs,Region VII,3.3760237166592146,3.100718933492538,35.75190000196592
eggs,Region VIII,3.426839129939718,3.2080969760162894,35.967017522481676
eggs,Region X,3.0940660585855695,2.7939695199549477,34.83111076778671
eggs,Region XI,2.619612153603672,2.335262990370517,29.13353212863991
eggs,Region XII,2.1465218172731673,1.887691033305119,24.65787333377002
eggs,Region XIII,2.098257723377512,1.8969998638657781,23.780338566969306
meat_beef_chops,Autonomous region in Muslim Mindanao,48.71529814400406,43.57567792581462,15.19512825812004
meat_beef_chops,Cordillera Administrative region,39.004612824377894,36.8925639375053,11.190413923027227
meat_beef_chops,Market Average,11.126255377104254,8.671139750048583,3.138393144838494
meat_beef_chops,National Capital region,21.121399637315466,18.872338459176785,5.067957168011325
meat_beef_chops,Region I,38.88137905413525,35.26589974060954,10.91978860397522
meat_beef_chops,Region II,52.30465786825171,48.40255073576129,15.462349004595813
meat_beef_chops,Region III,16.194250477117905,13.256711211452833,3.876013852835532
meat_beef_chops,Region IV-A,24.96461489025751,20.451853698074085,5.7298779648097735
meat_beef_chops,Region IV-B,25.10049073298243,23.499594487250167,7.705891171196293
meat_beef_chops,Region IX,75.20520227605205,64.55197927405388,21.074386515451096
meat_beef_chops,Region V,18.910299183610512,17.54185721180742,5.347878555373593
meat_beef_chops,Region VI,59.60117201097247,48.16106088823086,14.353766098505103
meat_beef_chops,Region VII,82.14225439753258,72.92701539776604,24.116962401205075
